name,x,y
b10-1,427074.7094,6654805.174
b14-1,427474.4248,6655148.009
b15-1,427480.5444,6655184.865
b16-1,427409.5473,6655023.271
b2-1,427384.172,6655037.189
b22-1,427448.9305,6655144.289
b26,427464.3165,6655164.622
b29,427375.0453,6655055.461
b34,427436.2274,6654995.728
b35,427447.8493,6655002.245
b36,427448.6013,6654991.758
b37,427461.1705,6654998.421
b4,427473.8286,6655256.965
b8-2,427162.8897,6654757.235
b9-2,426918.374,6654803.298
kb1-1,427405.5922,6654945.846
kb4-3,427230.0951,6654957.899
ni1403-2,427470.6311,6655011.176
ni1404-1,427459.9492,6655157.407
ni1405-1,427471.1525,6655034.163
ni1407-2,427437.2821,6655127.924
ni1408-1,427428.4688,6655136.123
ni1409-1,427449.9797,6655114.637
ni1410-1,427463.3347,6655130.332
ni1412-1,427463.5219,6655006.338
ni15-o1,427391.9882,6654917.318
ni15-o44,427385.2721,6654938.189
ni15-o46,427316.2934,6655000.158
ni15-o47,427294.9467,6654962.316
ni15-o48,427166.6707,6654946.617
ni1501-3,427363.3054,6655084.605
ni1502-2,427443.73,6655191.772
ni1504-2,427453.4974,6655181.552
ni1505-2,427443.1633,6655166.787
ni1506-1,427445.9575,6655157.724
ni1507-2,427419.0189,6655160.335
ni1601-3,427409.6239,6654966.564
ni1602-1,427348.7754,6654928.947
ni1603-1,427358.2915,6654951.73
ni1605-1,427474.8327,6655020.08
ni1606-1,427309.9799,6654937.827
ni1607-2,427397.497,6654916.843
ni1608-1,427394.2267,6654904.918
ni1609-2,427400.3365,6654909.779
ni1610-2,427398.2937,6654913.175
ni1611-1,427404.4066,6654919.496
ni1612-1,427372.4891,6654916.41
ni1613-1,427359.1474,6654950.23
ni1701-1,427393.1573,6654945.939
ni1702-1,427387.3423,6654954.07
ni1703-1,427397.7917,6654929.835
ni1704-1,427191.5946,6654964.51
ni1705-1,427215.4444,6654957.97
ni1706-1,427250.0382,6654940.186
ni1707-1,427229.096,6654942.661
ni1708-1,427447.8734,6654977.695
ni1709-1,427488.91,6655046.459
ni1711-1,427468.7492,6654985.521
ni1712-1,427416.8257,6654931.403
ni1801-1,427199.3878,6654953.654
ni1802-1,427206.0186,6654952.834
ni1803-1,427211.6349,6654950.927
ni1804-1,427218.5725,6654949.079
