time,NI15-O1-STG,NI15-O44-STG,NI15-O46-STG,NI15-O47-STG,NI15-O48-STG
0.000000000000,136.7778367,136.7868262,135.5196670,135.2833003,134.4355835
30.41666666667,136.7799362,136.7890315,135.5223582,135.2861911,134.4391372
60.83333333333,136.7728411,136.7819672,135.5155668,135.2793776,134.4316133
91.25000000000,136.7689738,136.7781005,135.5117516,135.2755148,134.4272845
121.6666666667,136.7818776,136.7909512,135.5241243,135.2879330,134.4410105
152.0833333333,136.7964782,136.8055499,135.5384071,135.3023494,134.4570206
182.5000000000,136.7907501,136.7998527,135.5330141,135.2969737,134.4511637
212.9166666667,136.7810037,136.7901431,135.5236877,135.2876151,134.4408538
243.3333333333,136.7920927,136.8011836,135.5342474,135.2981882,134.4524644
273.7500000000,136.7898034,136.7988930,135.5320058,135.2959320,134.4499677
304.1666666667,136.7743197,136.7834270,135.5169166,135.2807206,134.4330733
334.5833333333,136.7743670,136.7834813,135.5169947,135.2807989,134.4331660
365.0000000000,136.7700908,136.7792191,135.5128641,135.2766436,134.4285545
395.4166666667,136.7634587,136.7726308,135.5065694,135.2703370,134.4215874
425.8333333333,136.7765639,136.7856339,135.5188790,135.2826251,134.4350774
456.2500000000,136.7851923,136.7942613,135.5273503,135.2911874,134.4446272
486.6666666667,136.7773675,136.7864662,135.5198580,135.2836753,134.4363469
517.0833333333,136.7725213,136.7816330,135.5151627,135.2789447,134.4310893
547.5000000000,136.7747572,136.7838712,135.5173755,135.2811817,134.4335917
577.9166666667,136.7844644,136.7935402,135.5266797,135.2905210,134.4439027
608.3333333333,136.7883189,136.7974383,135.5307313,135.2946891,134.4486656
638.7500000000,136.7756897,136.7848290,135.5184599,135.2823301,134.4349547
669.1666666667,136.7712039,136.7803563,135.5141109,135.2779438,134.4300730
699.5833333333,136.7806760,136.7897572,135.5229946,135.2868065,134.4397780
730.0000000000,136.7885069,136.7975775,135.5306104,135.2944837,134.4482977
760.4166666667,136.7920016,136.8010807,135.5340865,135.2980104,134.4522412
790.8333333333,136.7800403,136.7891405,135.5225004,135.2863531,134.4393428
821.2500000000,136.7609966,136.7701926,135.5042815,135.2680639,134.4191003
851.6666666667,136.7672943,136.7764260,135.5101149,135.2738582,134.4254281
882.0833333333,136.7666093,136.7757565,135.5095335,135.2732971,134.4248453
912.5000000000,136.7646253,136.7737956,135.5077112,135.2714877,134.4228723
942.9166666667,136.7823526,136.7914027,135.5244438,135.2882148,134.4412558
973.3333333333,136.7897697,136.7988450,135.5318747,135.2957676,134.4497381
1003.750000000,136.7839631,136.7930669,135.5263705,135.2902655,134.4437083
1034.166666667,136.7854959,136.7945685,135.5276784,135.2915312,134.4450250
1064.583333333,136.7825219,136.7916111,135.5248638,135.2887172,134.4419414
1095.000000000,136.7694151,136.7785734,135.5123846,135.2762112,134.4281550
1125.416666667,136.7662666,136.7754142,135.5092015,135.2729645,134.4244746
1155.833333333,136.7670711,136.7762206,135.5100046,135.2737772,134.4253887
1186.250000000,136.7706882,136.7798184,135.5134596,135.2772433,134.4292237
1216.666666667,136.7622776,136.7714521,135.5054143,135.2691713,134.4202837
1247.083333333,136.7786994,136.7877724,135.5209958,135.2847677,134.4374749
1277.500000000,136.7877329,136.7968366,135.5300555,135.2939764,134.4478253
1307.916666667,136.7776439,136.7867659,135.5202758,135.2841371,134.4369260
1338.333333333,136.7865169,136.7956196,135.5288604,135.2927690,134.4464787
1368.750000000,136.7903707,136.7994858,135.5327154,135.2966862,134.4508720
1399.166666667,136.7841280,136.7932413,135.5265932,135.2905069,134.4440027
1429.583333333,136.7838480,136.7929308,135.5261267,135.2899818,134.4433299
1460.000000000,136.7853917,136.7945007,135.5277997,135.2917127,134.4453276
